customer_unique_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code,segment,action_priority
bd8e0f3ea9fb694fc53c7a358643fc06,75,2,351.49,5,4,4,05/04/2004,Champions,1
9eb77967122094a4eea4084933b47a1e,212,2,349.99,4,4,4,04/04/2004,Champions,1
acea13a79aeaf715ba68122e9deb330a,65,2,349.35,5,4,4,05/04/2004,Champions,1
139093b1c6e7e3108ac0469ce43bfb99,64,2,349.12,5,4,4,05/04/2004,Champions,1
0c8286526be3a0fc8f50b7267db95035,201,2,345.52,4,4,4,04/04/2004,Champions,1
4badd97df3e4ad6d64508b5c25d4dca9,186,2,344.98,4,4,4,04/04/2004,Champions,1
1bcbeccb2851888f299cf9a5dba8553d,73,2,344.31,5,4,4,05/04/2004,Champions,1
75eacb17f5ef482c37c7b7903f014ece,74,2,344.13,5,4,4,05/04/2004,Champions,1
d65921a138c59000aff343f8c991b896,141,2,343.57,4,4,4,04/04/2004,Champions,1
08a374bca4063116d5530a7b04ecaf3f,65,2,342.77,5,4,4,05/04/2004,Champions,1
e219a439f6ca99e32824bcc7153969c9,91,2,342.51,5,4,4,05/04/2004,Champions,1
7c438259d88d8eefb977be5432d761c1,109,2,342.32,5,4,4,05/04/2004,Champions,1
0fd39b61ec94864f92e18e5d7144bc6c,205,2,342.1,4,4,4,04/04/2004,Champions,1
df5ff0c899dd19ed568e3e0f716cbe20,177,2,341.52,4,4,4,04/04/2004,Champions,1
556ffcdd6185be1c44ea83be3b1b5f86,119,2,340.68,5,4,4,05/04/2004,Champions,1
e3c95cff4b8cca496061b369eaa006f7,163,2,340.54,4,4,4,04/04/2004,Champions,1
3f1ae9854823f7c0a8027bd994b2ce64,197,2,340.36,4,4,4,04/04/2004,Champions,1
f31ac54af6af7097bddd1053011e7a3a,73,2,339.61,5,4,4,05/04/2004,Champions,1
0509ab034845adb0b4c91b6f0e7b7260,166,2,339.46,4,4,4,04/04/2004,Champions,1
b608532e04a3070b4b31178948f5c43b,160,2,338.93,4,4,4,04/04/2004,Champions,1
2028c90d6c4523ae70a285c44010258a,86,2,338.76,5,4,4,05/04/2004,Champions,1
